ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
34601,"Jeffrey ""Jeff"" Fenech",M,20,170,48,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Flyweight,NA
34647,Liane Fenwick,F,25,189,78,Australia-2,AUS,1996 Summer,1996,Summer,Atlanta,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,NA
34686,Alicia Ferguson,F,18,165,61,Australia,AUS,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,NA
34689,David Ferguson,M,22,204,95,Australia,AUS,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,NA
34700,John Abbott Ferguson,M,24,189,77,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed Three Person Keelboat,NA
34701,Keith Ferguson,M,32,176,78,Australia,AUS,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Skeet,NA
34701,Keith Ferguson,M,36,176,78,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Skeet,NA
34704,"Michele ""Mitzi"" Ferguson",F,20,170,52,Australia,AUS,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Women's Foil, Individual",NA
34724,"Alexander ""Alex"" Ferlazzo",M,18,185,75,Australia,AUS,2014 Winter,2014,Winter,Sochi,Luge,Luge Men's Singles,NA
34825,Jaime Francisco Fernandez,M,21,193,103,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,NA
34825,Jaime Francisco Fernandez,M,25,193,103,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxed Eights,NA
34825,Jaime Francisco Fernandez,M,29,193,103,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Silver
34902,Scott Fernandis,M,23,163,60,Australia,AUS,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Extra-Lightweight,NA
